Statistics,COPE,COPE,VARCOPE,VARCOPE,z,z,p,p
Contrast,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM,STIM>CTRL,CTRL>STIM
conc_PCh+GPC_beta3,-0.0017668935470283031,0.0017668935470283031,3.2755716006249713e-07,3.2755716006249713e-07,-2.484105110168457,2.484105110168457,0.9935061266959285,0.006493873304071443
conc_Glu+Gln_beta0,0.006159089505672455,-0.006159089505672455,1.9002667386303074e-06,1.9002667386303074e-06,3.163424491882324,-3.163424491882324,0.0007796239696478506,0.9992203760303522
conc_Glu+Gln_beta1,0.007559142541140318,-0.007559142541140318,2.5668111902632518e-06,2.5668111902632518e-06,3.2657201290130615,-3.2657201290130615,0.0005459305215149058,0.9994540694784851
conc_Glu+Gln_beta2,-0.004964656196534634,0.004964656196534634,1.3717917681788094e-05,1.3717917681788094e-05,-1.2454757690429688,1.2454757690429688,0.8935215414923632,0.10647845850763682
conc_Glu+Gln_beta3,-0.0017226844793185592,0.0017226844793185592,4.367021392681636e-05,4.367021392681636e-05,-0.2530839145183563,0.2530839145183563,0.5998983156539027,0.4001016843460973
conc_Asc_mean_activation,0.00036727695260196924,-0.00036727695260196924,8.016946821953752e-07,8.016946821953752e-07,0.3971506655216217,-0.3971506655216217,0.34562817997944,0.6543718200205599
conc_Asp_mean_activation,-0.004396231845021248,0.004396231845021248,2.1465973532031057e-06,2.1465973532031057e-06,-2.433774709701538,2.433774709701538,0.9925288539425361,0.0074711460574639205
conc_Cr_mean_activation,-0.0012526490027084947,0.0012526490027084947,1.0448195553180994e-06,1.0448195553180994e-06,-1.1467303037643433,1.1467303037643433,0.8742534489882665,0.12574655101173343
conc_GABA_mean_activation,0.000580103718675673,-0.000580103718675673,2.1872199340577936e-06,2.1872199340577936e-06,0.3799225389957428,-0.3799225389957428,0.35200145795117177,0.6479985420488282
conc_GPC_mean_activation,0.0004405394720379263,-0.0004405394720379263,2.569310879607656e-07,2.569310879607656e-07,0.8285397887229919,-0.8285397887229919,0.20368243560085192,0.796317564399148
conc_GSH_mean_activation,-0.000152853928739205,0.000152853928739205,2.6467418479114713e-07,2.6467418479114713e-07,-0.2882910966873169,0.2882910966873169,0.6134380390973305,0.3865619609026694
conc_Glc_mean_activation,-0.00482173589989543,0.00482173589989543,9.385101975567522e-07,9.385101975567522e-07,-3.366107940673828,3.366107940673828,0.9996188156508552,0.0003811843491447766
conc_Gln_mean_activation,0.0013934456510469317,-0.0013934456510469317,1.5993949773474014e-06,1.5993949773474014e-06,1.0383003950119019,-1.0383003950119019,0.1495651124280386,0.8504348875719614
conc_Glu_mean_activation,0.005488483235239983,-0.005488483235239983,1.3706614936381811e-06,1.3706614936381811e-06,3.2536609172821045,-3.2536609172821045,0.000569640897154447,0.9994303591028455
conc_Ins_mean_activation,-0.0003015359689015895,0.0003015359689015895,3.285828142907121e-07,3.285828142907121e-07,-0.5078240036964417,0.5078240036964417,0.694211612767437,0.30578838723256296
conc_Lac_mean_activation,0.004808951634913683,-0.004808951634913683,1.1562856343516614e-06,1.1562856343516614e-06,3.165189266204834,-3.165189266204834,0.0007749105121128642,0.9992250894878871
conc_Mac_mean_activation,3.216790355509147e-05,-3.216790355509147e-05,5.512133416374354e-09,5.512133416374354e-09,0.4192762076854706,-0.4192762076854706,0.3375071413284021,0.6624928586715979
conc_NAA_mean_activation,0.00025447140797041357,-0.00025447140797041357,1.9337998935498035e-07,1.9337998935498035e-07,0.5577686429023743,-0.5577686429023743,0.28850118881052567,0.7114988111894743
conc_NAAG_mean_activation,-0.0005633364780806005,0.0005633364780806005,1.483837479554495e-07,1.483837479554495e-07,-1.3480346202850342,1.3480346202850342,0.9111763760847253,0.0888236239152746
conc_PCh_mean_activation,-0.0002563881571404636,0.0002563881571404636,2.559859524353669e-07,2.559859524353669e-07,-0.4894616901874542,0.4894616901874542,0.6877425647996843,0.3122574352003157
conc_PCr_mean_activation,0.0012882471783086658,-0.0012882471783086658,1.1371201935617137e-06,1.1371201935617137e-06,1.131603479385376,-1.131603479385376,0.12890058832320206,0.8710994116767979
conc_PE_mean_activation,-0.0008385436958633363,0.0008385436958633363,1.3301510080054868e-06,1.3301510080054868e-06,-0.697219967842102,0.697219967842102,0.7571674277246718,0.24283257227532823
conc_Scyllo_mean_activation,0.00029109095339663327,-0.00029109095339663327,4.0816562574264026e-08,4.0816562574264026e-08,1.3300427198410034,-1.3300427198410034,0.09175209819576208,0.908247901804238
conc_Tau_mean_activation,0.00035510057932697237,-0.00035510057932697237,7.811557907189126e-07,7.811557907189126e-07,0.3890712261199951,-0.3890712261199951,0.3486117290301546,0.6513882709698454
conc_NAA+NAAG_mean_activation,-0.00030447018798440695,0.00030447018798440695,1.9023491404368542e-07,1.9023491404368542e-07,-0.6701404452323914,0.6701404452323914,0.7486158679099332,0.2513841320900668
conc_Cr+PCr_mean_activation,3.902742173522711e-05,-3.902742173522711e-05,1.582826314461272e-07,1.582826314461272e-07,0.09538916498422623,-0.09538916498422623,0.4620028609624549,0.5379971390375451
conc_PCh+GPC_mean_activation,0.0001842211204348132,-0.0001842211204348132,3.161982320420975e-08,3.161982320420975e-08,0.9796980023384094,-0.9796980023384094,0.16361760624639238,0.8363823937536077
conc_Glu+Gln_mean_activation,0.006860440596938133,-0.006860440596938133,1.4130037016002461e-06,1.4130037016002461e-06,3.643496036529541,-3.643496036529541,0.0001344798978957286,0.9998655201021043
